"","Title","Link","Author","Date","Num_of_comments"
"1","Spider-Cat officially ‘takes a pet, like no problem’ in Spider-Man: Miles Morales","https://www.theverge.com/tldr/2020/11/13/21563609/spider-cat-takes-a-pet-like-no-problem-spider-man-miles-morales-bodega-dialogue","James Vincent","Nov 13, 2020",3
"2","Spider-Man: Miles Morales gives a fresh style to an already great game","https://www.theverge.com/21549085/spider-man-miles-morales-review-ps5-ps4","Andrew Webster","Nov  6, 2020",8
"3","How Bunny the dog is pushing scientists’ buttons","https://www.theverge.com/21557375/bunny-the-dog-talks-researchers-animal-cognition-language-tiktok","Kait Sanchez","Nov 11, 2020",9
"4","Sex, Lies, and Video Games","https://www.theverge.com/21571690/oomba-startup-work-environment-sex-lies-video-games-gameworks-exworks","Amanda Chicago Lewis","Nov 23, 2020",NA
"5","Fighting workplace harassment is going to take more than a hotline","https://www.theverge.com/21537102/tech-workers-harassment-hotline-vault-lioness-strategies","Zoe Schiffer","Oct 28, 2020",NA
"6","Mario Kart Live: Home Circuit is a simple racer that can feel like magic","https://www.theverge.com/21514758/mario-kart-live-home-circuit-review-nintendo-switch","Andrew Webster","Oct 14, 2020",8
"7","Tanooki Mario will be available in Lego form next year","https://www.theverge.com/2020/11/17/21571141/tanooki-mario-lego-set-power-up-pack-maker-expansion-piranha-chain-chomp","Jon Porter","Nov 17, 2020",2
"8","Take a breather with the winners of the Wildlife Photographer of the Year competition","https://www.theverge.com/2020/10/14/21516130/wildlife-photographer-of-the-year-competition-winner-2020-natural-history-museum-tiger","Justine Calma","Oct 14, 2020",NA
"9","Spider-Cat is already shaping up to be the real hero of Spider-Man: Miles Morales","https://www.theverge.com/2020/10/15/21517350/spider-man-miles-morales-spider-cat-backpack-sidekick-video","James Vincent","Oct 15, 2020",13
"10","Google is rolling out end-to-end encryption for RCS in Android Messages beta","https://www.theverge.com/2020/11/19/21574451/android-rcs-encryption-message-end-to-end-beta","Dieter Bohn","Nov 19, 2020",53
"11","It’s Halloween, so here are some mischievous skeletons","https://www.theverge.com/2020/10/31/21540240/skeletons-andre-zimmermann-byte-halloween","Jacob Kastrenakes","Oct 31, 2020",3
"12","Instagram turns 20 on this day in 2030","https://www.theverge.com/21503020/instagram-anniversary-10-future-fiction","Jacob Kastrenakes","Oct  6, 2020",30
"13","Hello Kitty is getting a new, adorable Tamagotchi treatment","https://www.theverge.com/2020/10/1/21496880/tamagotchi-hello-kitty-sanrio-bandai-preorder-toy","Julia Alexander","Oct  1, 2020",NA
"14","The iPhone 12 mini seems like the small iPhone I’ve been waiting for","https://www.theverge.com/2020/10/14/21515399/iphone-12-mini-phone-waiting-small-phone-smartphones","Jay Peters","Oct 14, 2020",42
"15","Mario Kart Live: Home Circuit’s multiplayer is expensive and chaotic","https://www.theverge.com/21526662/mario-kart-live-home-circuit-multiplayer-hands-on","Andrew Webster","Oct 21, 2020",4
"16","Amazon is trying to crack down on fraudulent reviews. They’re thriving in Facebook groups.  ","https://www.theverge.com/2020/10/2/21497416/amazon-crack-down-fraudulent-reviews-facebook-wechat-groups","Zoe Schiffer","Oct  2, 2020",NA
"17","We have a few questions about Amazon’s flying indoor security camera drone","https://www.theverge.com/tldr/2020/9/24/21454943/amazon-ring-always-home-cam-drone-security-biggest-questions","Verge Staff","Sep 24, 2020",54
"18","Please do not use a live snake as your face mask","https://www.theverge.com/21440270/coronavirus-snake-face-mask-bus-uk","Elizabeth Lopatto","Sep 16, 2020",12
"19","Star Trek: Discovery season 3 trailer jumps into the future","https://www.theverge.com/2020/9/9/21428611/star-trek-discovery-season-3-trailer-uss-discovery","Jon Porter","Sep  9, 2020",17
